"STOP_NUMBER"	"STOP_NAME"	"STOP_ZAZA"
187885	"DENNEBOOM - STATION"	"ZAZADENNEBOOM-STATION"
185348	"DENNY DALTON"	"ZAZADENNYDALTON"
187715	"DIKGALE"	"ZAZADIKGALE"
1570337	"DIMBAZA"	"ZAZADIMBAZA"
187711	"DITORO"	"ZAZADITORO"
642225	"DIVUNDU"	"ZAZADIVUNDU"
187921	"DOBSONVILLE"	"ZAZADOBSONVILLE"
188072	"DONDOLA"	"ZAZADONDOLA"
1560593	"DOUGLAS"	"ZAZADOUGLAS"
8234	"DULLSTROOM"	"ZAZADULLSTROOM"
313320	"PONTA DO OURO"	"ZAZAPONTADOOURO"
6917	"EAST LONDON"	"ZAZAEASTLONDON"
91141	"ENGCOBO"	"ZAZAENGCOBO"
7258	"ESTCOURT"	"ZAZAESTCOURT"
9484	"EMPANGENI"	"ZAZAEMPANGENI"
9479	"ERMELO"	"ZAZAERMELO"
9142	"EVANDER"	"ZAZAEVANDER"
7269	"EDENVALE"	"ZAZAEDENVALE"
97504	"ELDORADO PARK"	"ZAZAELDORADOPARK"
32662	"ELIM HOSPITAL"	"ZAZAELIMHOSPITAL"
218792	"ELIM"	"ZAZAELIM"
250403	"EMAPANGENENI"	"ZAZAEMAPANGENENI"
230402	"ESTUARY HOTEL"	"ZAZAESTUARYHOTEL"
6414	"PORT ELIZABETH"	"ZAZAPORTELIZABETH"
210237	"PORT EDWARD"	"ZAZAPORTEDWARD"
240686	"SOMERSET EAST"	"ZAZASOMERSETEAST"
986809	"MOUNT EDGECOMBE"	"ZAZAMOUNTEDGECOMBE"
170519	"MT EDGECOMBE"	"ZAZAMTEDGECOMBE"
230400	"THE EDWARDIAN HOTEL"	"ZAZATHEEDWARDIANHOTEL"
187533	"FLAGSTAFF"	"ZAZAFLAGSTAFF"
15443	"FICKSBURG"	"ZAZAFICKSBURG"
241430	"FORTY JUNCTION"	"ZAZAFORTYJUNCTION"
6542	"MOUNT FRERE"	"ZAZAMOUNTFRERE"
8358	"VICTORIA FALLS"	"ZAZAVICTORIAFALLS"
215237	"JANE FURSE"	"ZAZAJANEFURSE"
6947	"GEORGE"	"ZAZAGEORGE"
6413	"GRAHAMSTOWN"	"ZAZAGRAHAMSTOWN"
291419	"GRAAFF REINET"	"ZAZAGRAAFFREINET"
151361	"GERMISTON"	"ZAZAGERMISTON"
6910	"GWANDA"	"ZAZAGWANDA"
